Product Name,Brand,Date,Sales Quantity,Price,Original Price,Discount Percentage,Stock Level,Region,Category,Customer Rating,Review Count,Delivery Days,Seller,Is Weekend,Is Holiday
Футболка Zara базовая хлопковая,Zara,2025-03-29,14,2300,,,304,Уфа,Одежда,4.4,221,3,"ОАО «Кондратьев, Марков и Кудрявцев»",1,0
Смартфон Apple iPhone 15 Pro,Apple,2025-03-01,20,89835,,,416,Екатеринбург,Электроника,5.0,529,3,ООО «Никифоров»,1,0
Умные часы Apple Watch Series 9,Apple,2025-03-31,7,36589,,,250,Казань,Электроника,4.6,574,5,Михеев Инкорпорэйтед,0,0
Смартфон Realme GT Neo 5,Realme,2025-03-29,34,28230,,,512,Москва,Электроника,4.2,518,5,Аксенова Лтд,1,0
Пылесос Xiaomi Mi Robot Vacuum-Mop 2 Pro,Xiaomi,2025-03-04,23,25260,,,414,Москва,Бытовая техника,4.4,639,2,ООО «Логинов Волков»,0,0
Микроволновка Samsung MG30T5018,Samsung,2025-03-03,8,15680,,,442,Нижний Новгород,Бытовая техника,4.4,426,3,Борисхоф 1 (Inchcape),0,0
Куртка Adidas Outdoor Terrex,Adidas,2025-03-17,10,12800,,,47,Челябинск,Одежда,4.3,435,5,НМЖК,0,0
Микроволновка Panasonic NN-GT261,Panasonic,2025-03-08,27,10740,,,438,Самара,Бытовая техника,4.1,226,3,Шашков Лимитед,1,1
Кроссовки Adidas Ultraboost,Adidas,2025-03-11,6,14710,,,227,Самара,Одежда,4.9,545,2,Исакова Инк,0,0
Кроссовки Adidas Ultraboost,Adidas,2025-03-05,12,16725,,,502,Санкт-Петербург,Одежда,4.5,301,5,АО «Воронов»,0,0
Смартфон Realme GT Neo 5,Realme,2025-03-24,15,30149,,,124,Новосибирск,Электроника,4.6,219,5,НПО «Воронцова»,0,0
"Учебник ""Python для начинающих""",ДМК Пресс,2025-03-14,27,1119,,,302,Москва,Книги,4.8,358,3,Ковалева и партнеры,0,0
"Учебник ""Экономика"" Н. Грегори Мэнкью",Питер,2025-03-09,13,1290,,,406,Казань,Книги,4.2,428,2,ЗАО «Пономарев Шарапов»,1,0
Платье Mango вечернее,Mango,2025-03-22,19,5280,,,107,Ростов-на-Дону,Одежда,4.4,657,1,НПО «Сафонова Некрасова»,1,0
Кроссовки Nike Air Max 270,Nike,2025-03-23,8,13039,,,86,Ростов-на-Дону,Одежда,4.5,477,2,Родионов Групп,1,0
Смартфон Apple iPhone 15 Pro,Apple,2025-03-15,11,76030,89460,15,126,Ростов-на-Дону,Электроника,4.7,706,2,Шубин Инкорпорэйтед,1,0
Куртка Columbia Watertight II,Columbia,2025-03-17,15,11605,,,226,Екатеринбург,Одежда,4.6,645,3,Абрамов Инкорпорэйтед,0,0
Смартфон Honor 90,Honor,2025-03-30,15,30510,,,100,Нижний Новгород,Электроника,4.4,313,2,ООО «Лаврентьева»,1,0
Джинсы Wrangler Arizona,Wrangler,2025-03-31,9,7930,,,468,Ростов-на-Дону,Одежда,4.3,250,5,"АО «Давыдов, Шашкова и Кабанова»",0,0
Ноутбук Acer Predator Helios 300,Acer,2025-03-02,46,99435,116990,15,277,Москва,Электроника,4.3,656,3,ОАО «Кулакова-Лукин»,1,0
Наушники Sony WH-1000XM5,Sony,2025-03-06,13,32825,,,91,Ростов-на-Дону,Электроника,4.8,586,7,ЗАО «Сысоева»,0,0
"Учебник ""Высшая математика"" В. Шипачев",Юрайт,2025-03-19,26,1150,1260,8,49,Санкт-Петербург,Книги,4.7,541,5,"НПО «Архипова, Тетерин и Лебедева»",0,0
Умные часы Samsung Galaxy Watch 6,Samsung,2025-03-30,8,26995,,,114,Казань,Электроника,4.7,304,3,ИП «Никонов Горшкова»,1,0
Стиральная машина Samsung EcoBubble WW90,Samsung,2025-03-22,30,63469,,,381,Москва,Бытовая техника,4.3,263,3,"НПО «Терентьев, Назаров и Гусев»",1,0
Микроволновка Panasonic NN-GT261,Panasonic,2025-03-13,7,8679,,,171,Уфа,Бытовая техника,4.3,229,3,Ягуар ленд ровер,0,0
Наушники Sony WH-1000XM5,Sony,2025-03-15,22,23060,34960,34,94,Нижний Новгород,Электроника,4.8,470,1,Семенова Лтд,1,0
Джинсы Levi's 501 Original,Levi's,2025-03-31,21,8555,,,355,Санкт-Петербург,Одежда,4.8,347,2,АО «Титова-Русакова»,0,0
Платье ASOS Design миди,ASOS,2025-03-11,9,3865,,,489,Ростов-на-Дону,Одежда,4.1,499,5,ИП «Чернова-Горбачев»,0,0
"Учебник ""Экономика"" Н. Грегори Мэнкью",Питер,2025-03-31,5,1550,,,395,Самара,Книги,4.7,454,5,ИП «Силин»,0,0
"Учебник ""Высшая математика"" В. Шипачев",Юрайт,2025-03-11,12,1110,,,161,Челябинск,Книги,4.5,437,3,ООО «Горбунов Наумов»,0,0
